Entry,Pfam
A3KN83,PF13872
A3KN83,PF13871
Q96IW7,PF13774
P63220,PF01249
O15273,PF09470
Q9BSA9,PF06736
Q86T26,PF01390
Q86T26,PF00089
Q6NUQ4,PF10151
Q66K66,PF13886
Q96EC8,PF04893
Q9HAV4,PF08389
Q495M9,PF12796
Q495M9,PF00536
P18887,PF00533
P18887,PF16589
P18887,PF01834
O00507,PF00443
A0A0B4J280,PF07686
A0A0A6YYJ7,PF07686
P11441,PF17840
P11441,PF00240
Q8IWV8,PF02617
Q8IWV8,PF02207
Q7RTX1,PF00003
Q7RTX1,PF01094
Q7RTX1,PF07562
Q9UNX4,PF12894
Q9UNX4,PF04003
Q9UNX4,PF00400
P57081,PF00400
P58317,PF00096
Q9BZM6,PF00129
O75820,PF01352
O75820,PF00096
Q9UQR1,PF00096
Q70J99,PF00168
Q70J99,PF10540
P11172,PF00215
P11172,PF00156
Q8N2C7,PF15778
Q5CZA5,PF01352
Q5CZA5,PF00096
Q9H7R0,PF01352
Q9H7R0,PF00096
Q8NB42,PF01352
Q8NB42,PF00096
Q3MIS6,PF01352
Q3MIS6,PF00096
Q15631,PF01997
Q99598,PF01997
Q01534,PF00956
Q9BXA7,PF00069
Q9Y5U2,PF15264
Q9BXA6,PF00069
Q9UK11,PF01352
Q9UK11,PF00096
O14905,PF00110
P17023,PF01352
P17023,PF00096
Q9ULT0,PF13181
Q3MJ62,PF02023
Q3MJ62,PF00096
Q99536,PF08240
Q9UPY5,PF13520
Q9Y4I5,PF03638
O15439,PF00664
O15439,PF00005
Q86UW6,PF08590
Q86UW6,PF01713
Q8IXW5,PF04181
Q96AX2,PF00071
P10826,PF00104
P10826,PF00105
P29350,PF00017
P29350,PF00102
P61313,PF00827
Q9BQ04,PF00076
Q9BQ04,PF00098
Q14498,PF15519
Q14498,PF00076
Q9NZH5,PF04856
Q3LXA3,PF02733
Q3LXA3,PF02734
Q9GZZ9,PF00899
Q16763,PF00179
Q7Z6J8,PF09814
Q9UK80,PF00443
Q9HBJ7,PF00443
Q9HBJ7,PF16674
Q86YH2,PF13836
A6NNY8,PF00443
Q70EK8,PF00443
Q86UV5,PF00443
Q6P3V2,PF01352
Q6P3V2,PF00096
Q6N043,PF13836
Q9BTP6,PF02892
P86452,PF05699
P86452,PF02892
Q14CS0,PF08059
Q14CS0,PF00789
O96006,PF05699
O96006,PF02892
A2A288,PF11977
A2A288,PF18039
Q8IZN3,PF01529
P04818,PF00303
Q5W0Z9,PF01529
Q92558,PF02205
Q6ICG8,PF02893
Q8IX01,PF01585
Q8IX01,PF01805
P35625,PF00965
Q96CP7,PF03798
Q9Y5J9,PF02953
Q8NHU6,PF12872
Q8NHU6,PF00567
A8MWL7,PF03647
Q9NPI0,PF14935
Q7Z5S9,PF07857
P68036,PF00179
P0CI00,PF01352
P0CI00,PF00096
Q9UHD9,PF17830
Q9UHD9,PF00627
Q9UHD9,PF00240
Q8NHM4,PF00089
Q14119,PF00096
Q8TAF3,PF11816
Q8TAF3,PF00400
O43379,PF12894
O43379,PF00400
Q96FK6,PF00400
Q8IWA0,PF00400
Q13360,PF01352
Q13360,PF00096
Q9NW82,PF00400
Q9BRX9,PF00400
B1ANS9,PF00400
Q96JL9,PF01352
Q96JL9,PF00096
Q8N9F8,PF01352
Q8N9F8,PF00096
Q96JC4,PF01352
Q96JC4,PF00096
Q8TF20,PF00096
Q8TF20,PF16622
P30536,PF03073
Q9Y6M5,PF01545
Q8N184,PF01352
Q8N184,PF00096
Q6UXI7,PF03815
Q6UXI7,PF00092
Q6SA08,PF00069
O43309,PF02023
O43309,PF00096
P33981,PF00069
P02766,PF00576
Q7Z5L0,PF03762
Q15904,PF05827
O95497,PF00795
O75436,PF03643
P27352,PF01122
P27352,PF14478
Q8WYA0,PF18383
Q92628,PF15376
Q9BV36,PF02318
Q9BV36,PF04698
Q96JB3,PF00651
Q96JB3,PF00096
Q5VVH5,PF04402
P09211,PF14497
P09211,PF02798
A4D1E9,PF01018
A4D1E9,PF01926
Q8NDC0,PF15822
Q8NB16,PF07714
Q02846,PF01094
Q02846,PF00211
Q02846,PF07701
Q02846,PF07714
A0A0A0MRZ9,PF07686
Q96PU9,PF07004
Q9Y5U9,PF08571
P01705,PF07686
Q9Y573,PF07707
Q9Y573,PF00651
Q9Y573,PF01344
Q6UWN0,PF00021
Q6UWN5,PF00021
Q9Y616,PF00531
Q9Y616,PF00069
Q9NVD7,PF00307
Q9GZP0,PF00431
Q9GZP0,PF00341
Q7RTR2,PF13516
Q7RTR2,PF05729
Q7RTR2,PF17776
Q7RTR2,PF17779
Q15121,PF01335
Q0GE19,PF13593
O15375,PF07690
O95255,PF00664
O95255,PF00005
Q9NQ66,PF06631
Q9NQ66,PF09279
Q9NQ66,PF17787
Q9NQ66,PF00388
Q9NQ66,PF00387
Q9NQ66,PF08703
Q9NSI8,PF07647
Q9NSI8,PF07653
Q9NSI8,PF12485
Q9P270,PF15301
Q16563,PF01284
Q12888,PF09038
Q9Y6J9,PF02969
Q9Y6J9,PF07571
Q9NXL6,PF13965
Q15437,PF00626
Q15437,PF08033
Q15437,PF04815
Q15437,PF04811
Q15437,PF04810
Q8IY34,PF00854
Q9NSA0,PF00083
A0AV02,PF00324
Q8TEV9,PF11704
Q9NY15,PF12947
Q9NY15,PF02469
Q9NY15,PF00193
A6NFE2,PF14992
P48775,PF03301
P29084,PF18121
P29084,PF02186
Q96I99,PF08442
Q96I99,PF00549
Q6ZNK6,PF00498
Q9NYW3,PF05296
Q9NUY8,PF00566
Q9NUY8,PF00581
Q9UBN4,PF00520
Q9UBN4,PF08344
Q9UJT1,PF00091
A7MCY6,PF12845
O60907,PF08513
O60907,PF00400
Q3YBR2,PF05965
Q3YBR2,PF05964
A6NFA1,PF01963
Q86V40,PF01963
O15178,PF00907
Q96B02,PF00179
Q5VVX9,PF00179
Q14139,PF04564
Q14139,PF10408
Q8NHY6,PF01352
Q8NHY6,PF00096
Q96EF9,PF17826
Q8TBZ3,PF00400
O95789,PF06467
Q9P0L1,PF01352
Q9P0L1,PF02023
Q9P0L1,PF00096
Q9UJ78,PF06467
Q15973,PF01352
Q15973,PF00096
P52746,PF00096
Q86TI4,PF00400
P35968,PF07679
P35968,PF00047
P35968,PF07714
P35968,PF17988
Q9UK12,PF01352
Q9UK12,PF00096
Q96BV0,PF00096
Q8TCV5,PF00095
Q17R98,PF00096
Q96EG3,PF00096
Q8TF50,PF00096
Q8TAF7,PF01352
Q8TAF7,PF00096
Q53HI1,PF05216
P15621,PF01352
P15621,PF00096
Q8N2I2,PF00096
Q8N9Z0,PF01352
Q8N9Z0,PF00096
Q9UI38,PF00089
Q96MU7,PF04146
Q6PFW1,PF00328
Q6PFW1,PF18086
Q15649,PF04438
Q6NXR4,PF10521
P40306,PF12465
P40306,PF00227
P28065,PF00227
Q9NRZ7,PF16076
Q9NRZ7,PF01553
Q8TF01,PF15996
P14923,PF00514
Q9UBY0,PF00999
Q9UBY0,PF16644
Q8TBY0,PF00076
P54829,PF00102
Q8N300,PF15674
O15466,PF00777
Q6PKC3,PF00085
P07101,PF00351
P07101,PF12549
Q99592,PF00651
Q99592,PF00096
Q9NVA1,PF03981
Q9UKP6,PF00001
Q9Y2K1,PF00651
O95847,PF00153
Q06418,PF00041
Q06418,PF07679
Q06418,PF07714
P22310,PF00201
Q9HAW9,PF00201
P06133,PF00201
Q9H0M4,PF00855
Q9H0M4,PF07496
Q8TBF4,PF00076
Q8TBF4,PF00098
O94874,PF09743
Q5TIE3,PF13757
Q5TIE3,PF13768
Q8N2E2,PF00094
Q709C8,PF09333
Q709C8,PF12624
Q709C8,PF06650
Q709C8,PF16908
Q709C8,PF16909
Q709C8,PF16910
Q86XT2,PF07200
O95670,PF03179
Q8N1B4,PF04129
Q86WI3,PF18461
Q86WI3,PF13516
Q86WI3,PF05729
Q86WI3,PF17776
P0C869,PF00168
P0C869,PF18695
P0C869,PF01735
Q8WV22,PF07574
Q8WV22,PF08746
Q8TE76,PF17942
Q8TE76,PF07496
Q5VTT5,PF00041
Q5VTT5,PF07679
Q5VTT5,PF00047
O00712,PF00859
O00712,PF03165
O00712,PF10524
O15438,PF00664
O15438,PF00005
O14787,PF03810
P45379,PF00992
P12081,PF03129
P12081,PF13393
P12081,PF00458
Q92956,PF00020
Q8IWL1,PF00059
Q6FHJ7,PF01392
Q6FHJ7,PF01759
Q9NPC8,PF00046
Q9NPC8,PF16878
Q8TCU3,PF13520
Q96LD1,PF04790
Q92629,PF04790
Q9NP91,PF00209
A0A1B0GWG4,PF15872
Q9Y265,PF06068
Q9Y265,PF17856
Q96HU1,PF00566
Q96HU1,PF02759
Q96HU1,PF00018
Q9BRG2,PF00017
Q9H7C4,PF00038
Q8NF91,PF00307
Q8NF91,PF10541
Q8NF91,PF00435
Q99963,PF03114
Q99963,PF07653
Q96HL8,PF00018
Q96HL8,PF04366
Q8NBJ7,PF03781
Q92547,PF00533
Q92547,PF12738
Q96KB5,PF00069
P29353,PF00640
P29353,PF00017
G2XKQ0,PF11976
Q70HW3,PF00153
Q6SPF0,PF00536
Q8ND83,PF15301
Q14714,PF04103
O94842,PF00505
Q93096,PF00782
Q9P2F8,PF00595
Q9P2F8,PF02145
Q9P2F8,PF11881
O60292,PF02145
O60292,PF11881
Q9BVW5,PF07962
Q92623,PF07719
P19544,PF02165
P19544,PF00096
Q86SM8,PF00001
Q96LB1,PF00001
Q9Y6X6,PF12796
Q9Y6X6,PF00063
Q9Y6X6,PF15439
Q9Y3E5,PF01981
Q9UMS6,PF00595
Q9H0Z9,PF00076
Q9Y2L5,PF12739
Q9H9S3,PF10559
Q9H9S3,PF00344
Q9UH36,PF07985
Q96NB2,PF03820
P18405,PF02544
Q9NSE4,PF08264
Q9NSE4,PF00133
Q9NSE4,PF06827
O75995,PF07647
O75995,PF07653
O75995,PF12485
Q496J9,PF07690
Q496J9,PF13599
Q496J9,PF00083
Q96JF0,PF00777
Q9NSC7,PF00777
P31949,PF00036
P31949,PF01023
Q9BWD1,PF02803
Q9BWD1,PF00108
Q9BZM4,PF00129
Q6ZN44,PF00531
Q6ZN44,PF07679
Q6ZN44,PF17217
Q6ZN44,PF00791
Q8IW36,PF01352
Q8IW36,PF00096
Q6IV72,PF01352
Q6IV72,PF00096
Q8WTR7,PF01352
Q8WTR7,PF00096
Q9H8N7,PF15997
Q5VIY5,PF01352
Q5VIY5,PF00096
Q53GI3,PF01352
Q53GI3,PF02023
Q53GI3,PF00096
Q9BQY6,PF00014
Q9BQY6,PF00095
Q86U90,PF01300
Q6XR72,PF01545
P17038,PF01352
P17038,PF00096
Q969W8,PF01352
Q969W8,PF00096
P51508,PF01352
P51508,PF00096
Q16587,PF01352
Q16587,PF00096
P01282,PF00123
Q9BYJ9,PF04146
Q93097,PF00110
Q2YD98,PF09740
Q96PN8,PF00069
Q96KV7,PF05018
Q96KV7,PF00400
Q5VTQ0,PF10300
Q5VTQ0,PF13181
Q86TZ1,PF00515
Q86TZ1,PF13181
Q8TAA9,PF06638
Q8NEZ2,PF07200
Q9NNX9,PF15231
P63119,PF01585
P63119,PF00077
O75528,PF10198
P04271,PF00036
P04271,PF01023
Q06330,PF09270
Q06330,PF09271
Q86UE8,PF00069
A0A1W2PR48,PF00400
Q9BVK8,PF09767
Q6ZMR5,PF01390
Q6ZMR5,PF00089
Q86WV5,PF15490
A6NCI4,PF13768
Q8N8F6,PF04893
Q9BTM9,PF09138
Q9H0D6,PF17846
Q9H0D6,PF03159
Q8N6Y0,PF10506
A0A087WT03,PF07686
A0A075B6N2,PF07686
Q9BTA9,PF00397
Q7Z5K2,PF07814
Q3SY52,PF01352
Q3SY52,PF00096
Q15661,PF00089
Q8TF45,PF01352
Q8TF45,PF00096
Q7Z7K2,PF00096
Q02386,PF01352
Q02386,PF00096
Q6ZMY9,PF01352
Q6ZMY9,PF00096
Q8NG11,PF00335
Q969S3,PF12756
Q969S3,PF12171
Q6NSZ9,PF02023
Q6NSZ9,PF00096
P33763,PF01023
P56279,PF01840
Q13569,PF03167
Q92738,PF00566
O00295,PF01167
O00295,PF16322
Q96ET8,PF05832
A0A0B4J266,PF07686
Q9BXU2,PF15186
Q96RU2,PF00443
P43403,PF07714
P43403,PF00017
Q5HYM0,PF18561
Q5HYM0,PF11977
Q5HYM0,PF18039
O95365,PF00651
O95365,PF00096
A1YPR0,PF00651
A1YPR0,PF00096
Q86VM9,PF18044
Q8WYQ9,PF00098
Q96MV8,PF01529
Q9NUE0,PF01529
O75310,PF00201
P15822,PF00096
Q86UP3,PF00046
Q86UP3,PF00096
Q96NJ6,PF00096
Q96KR1,PF07528
Q9UDW3,PF00642
Q9UDW3,PF06220
Q5JSH3,PF00400
Q03924,PF00096
Q9H2Y7,PF00400
Q562E7,PF02138
Q562E7,PF00400
P51786,PF01352
P51786,PF00096
Q9UJW7,PF01352
Q9UJW7,PF00096
O75346,PF01352
O75346,PF00096
Q9UDV6,PF12417
Q9UDV6,PF01352
Q9UDV6,PF00096
Q9NRM2,PF12756
Q6ZT77,PF00096
Q9BWM5,PF01352
Q9BWM5,PF00096
Q92618,PF00096
Q8WUA8,PF13855
Q05481,PF01352
Q05481,PF00096
Q8TB69,PF01352
Q8TB69,PF00096
Q96K75,PF01352
Q96K75,PF00096
Q9H1Z9,PF00335
Q9H707,PF01352
Q9H707,PF00096
Q68EA5,PF01352
Q68EA5,PF00096
Q6ZN08,PF01352
Q6ZN08,PF00096
Q96ND8,PF01352
Q96ND8,PF00096
Q8NEG5,PF04434
Q8NEG5,PF13639
Q8NEG5,PF00569
Q9NY84,PF00795
Q9BTX7,PF00650
Q9BTX7,PF03765
Q7Z5H5,PF03402
Q6UWI4,PF13908
Q05086,PF16558
Q05086,PF00632
Q92536,PF13520
A0A075B6X5,PF07686
P0CH99,PF01352
P0CH99,PF00096
Q6ZSB9,PF00651
Q6ZSB9,PF00096
O75152,PF15663
P19971,PF02885
P19971,PF00591
P19971,PF07831
Q6ZSN1,PF15143
Q96BR9,PF00651
Q96BR9,PF00096
P47985,PF00355
P47985,PF09165
P47985,PF02921
P0CG32,PF14893
O60656,PF00201
Q70EL1,PF00443
Q9H8X9,PF01529
Q9C0B5,PF01529
Q641Q2,PF15255
Q9C0A1,PF00046
P15692,PF00341
P15692,PF14554
Q9BZJ3,PF00089
Q86VQ6,PF00462
Q86VQ6,PF07992
Q86VQ6,PF02852
P52738,PF01352
P52738,PF00096
O95201,PF01352
O95201,PF00096
Q8N8G2,PF07545
Q6ZMS7,PF12417
Q6ZMS7,PF01352
P0CB33,PF01352
P0CB33,PF00096
Q96SE7,PF01352
Q96SE7,PF00096
P17098,PF01352
P17098,PF00096
Q9H4A3,PF12202
Q9H4A3,PF00069
Q7Z398,PF01352
Q7Z398,PF00096
Q9BSK1,PF01352
Q9BSK1,PF00096
Q8N720,PF00096
Q96HJ5,PF04103
Q9Y3B1,PF04707
F8VTS6,PF13765
F8VTS6,PF11002
F8VTS6,PF00622
Q6WKZ4,PF00168
Q6WKZ4,PF09457
Q07020,PF17135
O00287,PF15289
Q8N431,PF00617
Q8N431,PF00618
Q9BWE0,PF00096
Q9UGC6,PF00615
Q96IS3,PF00046
O15539,PF00615
Q2M5E4,PF00615
Q9H974,PF01702
P50120,PF00061
Q14964,PF00071
Q8TDY2,PF10377
Q00577,PF04845
Q6ZW05,PF02460
P0DI81,PF04628
Q9Y2V3,PF00046
Q9Y2V3,PF03826
P34925,PF07714
P34925,PF02019
A6NEL2,PF12796
Q8WWT9,PF00939
P0C7V7,PF00717
Q13428,PF03546
Q7Z6L1,PF06462
Q7Z6L1,PF06398
O00762,PF00179
A0A0B4J249,PF07686
O00526,PF07353
A0A075B6T6,PF07686
A0A0B4J2E0,PF07686
P54578,PF00443
Q9P275,PF00443
Q9Y6I7,PF07525
Q9Y6I7,PF00400
O43264,PF06248
O14972,PF03643
Q16881,PF00462
Q16881,PF07992
Q16881,PF02852
Q8NI36,PF12894
Q8NI36,PF04192
Q8NI36,PF00400
Q9HA38,PF12171
P52744,PF00096
Q86WZ6,PF01352
Q86WZ6,PF00096
Q13398,PF01352
Q13398,PF00096
P30291,PF00069
Q8N8Z8,PF01352
Q8N8Z8,PF00096
Q9H598,PF01490
P0C7X5,PF01352
P0C7X5,PF00096
Q06730,PF01352
Q06730,PF00096
Q9BUY5,PF01352
Q9BUY5,PF00096
Q9HCZ1,PF01352
Q9HCZ1,PF00096
B1APH4,PF01352
B1APH4,PF00096
Q14592,PF01352
Q14592,PF00096
Q9ULD5,PF12417
Q9ULD5,PF01352
Q9ULD5,PF00096
Q96SR6,PF01352
Q96SR6,PF00096
Q8TD17,PF12417
Q8TD17,PF01352
Q8TD17,PF00096
Q9BYP7,PF12202
Q9BYP7,PF00069
Q8N8J6,PF01352
Q8N8J6,PF00096
P0CW01,PF00956
Q96N58,PF01352
Q96N58,PF00096
A6NJL1,PF02023
A6NJL1,PF00096
Q8N6N2,PF07719
Q9NX65,PF02023
Q9NX65,PF00096
Q86TV6,PF13181
Q9Y277,PF01459
P63129,PF01585
P63129,PF00077
P11473,PF00104
P11473,PF00105
P12018,PF07686
Q9BRG1,PF05871
Q8IV63,PF00069
Q8IV63,PF13240
P02774,PF00273
P02774,PF09164
P51809,PF13774
P51809,PF00957
Q9H4T2,PF02023
Q9H4T2,PF00096
Q8NBB4,PF02023
P63124,PF01585
P63124,PF00077
Q9Y487,PF01496
Q96MV1,PF03798
Q5QJE6,PF08698
O75643,PF00270
O75643,PF00271
O75643,PF18149
O75643,PF02889
A8MVM7,PF15090
Q6ZSR9,PF15282
Q5DID0,PF07645
Q5DID0,PF01390
Q5DID0,PF00095
Q5DID0,PF00100
Q9NZ43,PF09753
P60604,PF00179
A0A0A6YYD4,PF07686
Q6ZU65,PF08729
Q6ZU65,PF14075
Q9BXU3,PF15186
Q13105,PF00651
Q13105,PF00096
Q9Y330,PF00651
Q9Y330,PF00096
Q969E3,PF00473
Q9HAW8,PF00201
Q9Y4X1,PF00201
P30530,PF00041
P30530,PF07714
Q6PCB0,PF00041
Q6PCB0,PF00092
Q9Y5J7,PF02953
P57738,PF15128
E7ETH6,PF01352
E7ETH6,PF00096
Q8NA23,PF00400
Q8NF64,PF02891
Q12901,PF01352
Q12901,PF00096
Q9BY10,PF07690
Q9H9D4,PF00096
Q8IYB9,PF01352
Q8IYB9,PF00096
Q8TA94,PF01352
Q8TA94,PF00096
Q5EBL2,PF00096
P17039,PF01352
P17039,PF00096
O75123,PF00096
Q6AZW8,PF00096
Q7Z739,PF04146
Q96GT9,PF05831
Q8WWM1,PF05831
Q9C0H2,PF04906
Q52LC2,PF05827
Q16864,PF01990
Q96LB4,PF03179
Q8IUC6,PF12721
Q8IUC6,PF17798
Q9NUA8,PF00651
Q9NUA8,PF00096
O43829,PF00651
O43829,PF00096
P55851,PF00153
P55089,PF00473
O94888,PF00789
O15060,PF00651
O15060,PF00096
Q9UPT8,PF00642
Q9UPT8,PF18044
Q6PEW1,PF14893
Q6UWM9,PF00201
P37275,PF00096
P37275,PF05605
Q7Z3T8,PF11979
Q7Z3T8,PF01363
Q7RTX0,PF00003
Q7RTX0,PF01094
Q7RTX0,PF07562
Q969J2,PF01352
Q969J2,PF02023
Q969J2,PF00096
Q5VTH9,PF00400
A8MV65,PF07545
Q14584,PF00096
Q8IUA0,PF00014
Q8IUA0,PF00095
O75373,PF01352
O75373,PF00096
Q09FC8,PF00096
O94892,PF01352
O94892,PF00096
Q00341,PF00013
Q9H7X3,PF00096
Q3KNS6,PF01352
Q3KNS6,PF00096
Q9ULM2,PF01352
Q9ULM2,PF00096
Q96C28,PF01352
Q96C28,PF00096
Q9H963,PF00096
P10072,PF01352
P10072,PF00096
Q6ZMS4,PF01352
Q6ZMS4,PF00096
P0CJ78,PF00096
Q9P2S5,PF12894
Q15560,PF08711
Q15560,PF01096
Q15560,PF07500
O75445,PF00041
O75445,PF00053
O75445,PF02210
O75445,PF00055
Q8NBM4,PF00627
Q9BRU9,PF04900
Q13454,PF04756
O00755,PF00110
Q4V348,PF00096
Q9H6R7,PF15390
Q8TAG6,PF15505
Q6IQ21,PF00096
Q5HY98,PF01352
Q5HY98,PF00096
Q9Y4E5,PF18479
A6NP11,PF01352
A6NP11,PF00096
P13051,PF03167
P17031,PF01352
P17031,PF00096
Q6ZNH5,PF00096
Q86T29,PF01352
Q86T29,PF00096
Q15940,PF00096
P51522,PF00096
Q9HAH1,PF01352
Q9HAH1,PF00096
Q19AV6,PF04434
P98169,PF00096
Q96LW9,PF02023
Q96LW9,PF00096
Q96SZ4,PF02023
Q96SZ4,PF00096
Q05940,PF07690
Q15542,PF04494
Q15542,PF00400
Q9HAT2,PF03629
Q99832,PF00118
Q9NRJ4,PF01167
Q8N831,PF00956
A0A0B4J240,PF07686
Q6ZRM9,PF15788
P42681,PF07714
P42681,PF00017
P42681,PF00018
Q9Y2W2,PF09429
Q12768,PF10266
Q9UII5,PF00096
Q14929,PF01352
Q14929,PF00096
O14628,PF01352
O14628,PF00096
Q6UXN9,PF00400
Q9NNW5,PF00400
Q6ZMY6,PF01011
Q6ZMY6,PF00400
Q7L3S4,PF00096
Q96N22,PF01352
Q96N22,PF00096
Q8N7Q3,PF00096
Q7Z2F6,PF01352
Q9Y2P0,PF00096
P17014,PF01352
P17014,PF00096
Q6ZNA1,PF01352
Q6ZNA1,PF00096
O75351,PF00004
O75351,PF17862
O75351,PF04212
O75351,PF09336
Q96N03,PF07686
O95183,PF00957
Q6EMB2,PF03133
P63131,PF01585
P63131,PF00077
Q9NRW7,PF00995
Q6ZRG5,PF15779
P0DPA2,PF07686
P0C264,PF00069
Q9Y336,PF07686
P0DMN0,PF00685
A6NIM6,PF00854
P51580,PF05724
O76054,PF00650
Q86T82,PF00443
Q86T82,PF16674
Q86T82,PF02809
Q70CQ4,PF00443
P20231,PF00089
Q15915,PF00096
Q15915,PF18366
P15622,PF01352
P15622,PF00096
P52747,PF00096
Q8N5D0,PF00400
Q8TF68,PF00096
Q8WWY7,PF00095
Q5T5D7,PF01352
Q5T5D7,PF00096
Q96GE5,PF01352
Q96GE5,PF00096
Q9NX07,PF00076
Q9NX07,PF17654
Q86UD4,PF00096
P08670,PF00038
P08670,PF04732
P18206,PF01044
Q8IVC4,PF01352
Q8IVC4,PF00096
P13682,PF00096
P17035,PF01352
P17035,PF00096
Q86UF1,PF00335
O95858,PF00335
P41732,PF00335
Q8NB50,PF00096
Q96T88,PF00628
Q96T88,PF02182
Q96T88,PF12148
Q96T88,PF00240
Q9H4I2,PF00046
Q9H4I2,PF11569
Q9H4I2,PF18387
C9JPN9,PF04774
C9JPN9,PF00443
P59923,PF01352
P59923,PF02023
P59923,PF00096
P17030,PF01352
P17030,PF00096
Q6ZR52,PF00096
Q9Y2H8,PF01352
Q9Y2H8,PF00096
P17020,PF00096
Q96C55,PF00096
O43361,PF01352
O43361,PF00096
Q8IZ26,PF01352
Q8IZ26,PF00096
Q96JF6,PF00096
Q03923,PF01352
Q03923,PF00096
Q15937,PF00096
O43257,PF04438
Q9Y5A9,PF04146
Q3SXZ7,PF03133
Q9BXE9,PF03402
O14598,PF15231
O60688,PF03226
Q96QA6,PF03226
Q15906,PF05764
Q15906,PF08265
P58304,PF00046
P58304,PF03826
Q8IW00,PF07686
Q9BWV7,PF03133
Q9BZM5,PF00129
P52739,PF00651
Q9UIE0,PF01352
Q9UIE0,PF00096
Q14593,PF01352
Q14593,PF00096
Q9HC57,PF00095
P09327,PF00626
P09327,PF02209
P98066,PF00431
P98066,PF00193
Q96CX3,PF00096
P17028,PF02023
P17028,PF00096
Q75MW2,PF12417
P36508,PF00096
O60636,PF00335
A6NKD2,PF00956
Q8NBZ7,PF16363
Q8NBZ7,PF11803
P17026,PF00096
O15535,PF02023
O15535,PF00096
Q9NNW7,PF07992
Q9NNW7,PF02852
Q9HBF4,PF01363
O15342,PF05493
Q99437,PF00137
Q93050,PF01496
Q96AJ9,PF05008
Q6UX27,PF13895
Q96AE7,PF13181
Q9NYU1,PF18404
Q9NYU1,PF18400
Q9NYU1,PF18401
Q9NYU1,PF18402
Q9NYU1,PF18403
Q9NYU1,PF06427
Q9HBM0,PF12632
Q96PU4,PF00628
Q96PU4,PF02182
Q96PU4,PF12148
Q96PU4,PF00240
Q8N1W2,PF00096
Q6UXZ4,PF00531
Q6UXZ4,PF07679
Q6UXZ4,PF00090
Q6UXZ4,PF17217
Q6UXZ4,PF00791
O95780,PF01352
O95780,PF00096
Q68DY9,PF01352
Q68DY9,PF00096
Q8N4W9,PF01352
Q8N4W9,PF00096
P42768,PF00786
P42768,PF00568
P42768,PF02205
P0DKX0,PF01352
P0DKX0,PF00096
Q0VGE8,PF01352
Q0VGE8,PF00096
P51815,PF01352
P51815,PF02023
P51815,PF00096
Q9NZC7,PF00106
Q9NZC7,PF00397
O95405,PF11979
O95405,PF01363
O95405,PF11409
O00401,PF00786
O00401,PF00568
O00401,PF02205
Q9H0C1,PF01753
Q15928,PF01352
Q15928,PF00096
P17025,PF01352
P17025,PF00096
Q3MJ13,PF00400
Q96MX6,PF00400
O60281,PF00096
Q8TAW3,PF01352
Q8TAW3,PF00096
Q5SXM1,PF00096
Q6ZMW2,PF01352
Q6ZMW2,PF00096
Q2M1K9,PF00096
Q9NW07,PF00096
Q96N38,PF00096
Q8TEU8,PF07679
Q8TEU8,PF00014
Q8TEU8,PF01759
Q8TEU8,PF00095
Q8NEM1,PF01352
Q8NEM1,PF00096
