	OddRatio	p-value	depth	name	score
8632	2.3950384470932415	0.009136212157376408	1	Kaposi's sarcoma	4.695509404208471
5419	0.7386921868332027	0.0012075954320110121	1	schizophrenia	6.719124142839132
848	0.39751219645517033	0.042241990454159134	1	arthritis	3.164340518200063
397	4.141918294849023	0.03279031667334734	1	restrictive cardiomyopathy	3.4176220305525944
14503	2.416577809371483	0.04344373965190717	1	neuronal ceroid lipofuscinosis	3.136288519310709
0080322	0.6603016069736198	3.3328418880068487e-07	2	polycystic kidney disease	14.914270291099731
0050477	8.285841179605614	0.002291832311841064	1	Liddle syndrome	6.07840364517915
10933	5.100823101534086	0.0010085354953642209	1	obsessive-compulsive disorder	6.8992560049928295
11724	3.394667832167832	6.392589887702953e-05	1	limb-girdle muscular dystrophy	9.657785975454058
0050700	1.8263024459917871	0.003772396312617592	1	cardiomyopathy	5.5800448527582835
12704	2.464294812329669	0.015867910297905047	1	ataxia telangiectasia	4.143456429364368
1697	0.16881931185398	0.03929405453307093	2	ichthyosis	3.2366820556973
12930	2.692412198294551	0.00010413300557807332	1	dilated cardiomyopathy	9.169841576129489
10017	4.420523758739187	0.00199561374679953	2	multiple endocrine neoplasia type 1	6.216803633446533
4479	5.329371428571428	0.0003869257898975222	1	pseudohypoaldosteronism	7.857277640693031
0050646	4.142476461183159	0.01724382295701485	1	distal arthrogryposis	4.060301289082519
12155	2.9586579702053144	0.04648936678970079	1	lymphocytic choriomeningitis	3.0685316637272995
7400	3.15711069354866	0.009716214477547853	2	Nijmegen breakage syndrome	4.6339591934102815
3275	3.451915674779416	0.029629229273570316	2	thymoma	3.518993929426829
305	1.4373349867609795	0.025864670983185567	2	carcinoma	3.6548772961493956
9119	1.543435484004882	0.03073748809065262	1	acute myeloid leukemia	3.482272258893252
