	entry_ac	architecture
387	P17038	PF00096;PF01352
388	Q969W8	PF00096;PF01352
389	P51508	PF00096;PF01352
390	Q16587	PF00096;PF01352
391	B1AH88	
392	P01282	PF00123
393	Q9BYJ9	PF04146
394	Q93097	PF00110
395	Q2YD98	PF09740
396	Q96PN8	PF00069
397	Q96KV7	PF00400;PF05018
398	Q8N2C9	
399	Q5VTQ0	PF10300;PF13181
400	Q86TZ1	PF00515;PF13181
401	Q8TAA9	PF06638
402	Q8NEZ2	PF07200
403	Q9NNX9	PF15231
404	P63119	PF00077;PF01585
405	A8MU76	
406	O75528	PF10198
407	P04271	PF00036;PF01023
408	Q06330	PF09270;PF09271
409	A0A0A0MTA4	
410	A0A0J9YXG5	
411	Q86UE8	PF00069
412	A0A1W2PR48	PF00400
413	Q9BVK8	PF09767
414	Q6ZMR5	PF00089;PF01390
415	Q86WV5	PF15490
416	Q9NX00	
417	A6NCI4	PF13768
418	Q8TCY9	
419	Q5VV11	
420	Q9Y334	
421	Q8N8F6	PF04893
422	Q96MT0	
423	Q9BTM9	PF09138
424	Q9H0D6	PF03159;PF17846
425	Q8N6Y0	PF10506
426	A0A087WT03	PF07686
427	A0A075B6N2	PF07686
428	Q7Z5K2	PF07814
429	Q3SY52	PF00096;PF01352
430	Q15661	PF00089
431	Q9P2D8	
432	Q8TF45	PF00096;PF01352
433	Q7Z7K2	PF00096
434	Q02386	PF00096;PF01352
435	Q6ZMY9	PF00096;PF01352
436	Q8NB15	
437	Q8NG11	PF00335
438	Q969S3	PF12171;PF12756
439	Q6DKK2	
440	Q6NSZ9	PF00096;PF02023
441	P33763	PF01023
442	P56279	PF01840
443	Q13569	PF03167
444	Q92738	PF00566
445	O00295	PF01167;PF16322
446	Q96ET8	PF05832
447	A0A0B4J266	PF07686
448	Q0P140	
449	Q9BXU2	PF15186
450	Q96RU2	PF00443
451	P43403	PF00017;PF07714
452	Q5HYM0	PF11977;PF18039;PF18561
453	O95365	PF00096;PF00651
454	A1YPR0	PF00096;PF00651
455	Q86VM9	PF18044
456	Q6ZST2	
457	Q8WYQ9	PF00098
458	Q96MV8	PF01529
459	Q9NUE0	PF01529
460	O75310	PF00201
461	P15822	PF00096
462	Q86UP3	PF00046;PF00096
463	Q96NJ6	PF00096
464	Q96KR1	PF07528
465	Q9UDW3	PF00642;PF06220
466	Q5JSH3	PF00400
467	Q03924	PF00096
468	Q9H2Y7	PF00400
469	Q562E7	PF00400;PF02138
470	P51786	PF00096;PF01352
471	Q9UJW7	PF00096;PF01352
472	O75346	PF00096;PF01352
473	Q9UDV6	PF00096;PF01352;PF12417
474	Q9NRM2	PF12756
475	Q96B54	
476	Q8NEX5	
477	Q6ZT77	PF00096
478	Q9BWM5	PF00096;PF01352
479	Q92618	PF00096
480	Q8WUA8	PF13855
481	Q05481	PF00096;PF01352
482	Q8TB69	PF00096;PF01352
483	Q96K75	PF00096;PF01352
484	Q9H1Z9	PF00335
485	Q9H707	PF00096;PF01352
486	Q68EA5	PF00096;PF01352
487	Q6ZN08	PF00096;PF01352
488	Q96ND8	PF00096;PF01352
489	Q15361	
490	Q8NEG5	PF00569;PF04434;PF13639
491	Q9NY84	PF00795
492	Q9BTX7	PF00650;PF03765
493	Q7Z5H5	PF03402
494	Q6ZVL8	
495	A8MWP6	
496	Q6UWI4	PF13908
497	A0A0B4J200	
498	Q05086	PF00632;PF16558
499	Q92536	PF13520
500	A0A075B6X5	PF07686
501	P0CH99	PF00096;PF01352
502	Q6ZSB9	PF00096;PF00651
503	O75152	PF15663
504	P19971	PF00591;PF02885;PF07831
505	Q6ZSN1	PF15143
506	Q96BR9	PF00096;PF00651
507	P47985	PF00355;PF02921;PF09165
508	P0CG32	PF14893
509	O60656	PF00201
510	Q70EL1	PF00443
511	Q9H8X9	PF01529
512	Q9C0B5	PF01529
513	Q641Q2	PF15255
514	Q9C0A1	PF00046
515	P15692	PF00341;PF14554
516	Q9BZJ3	PF00089
517	Q86VQ6	PF00462;PF02852;PF07992
518	Q5H9K5	
519	P52738	PF00096;PF01352
520	O95201	PF00096;PF01352
521	Q8N8G2	PF07545
522	Q5SRN2	
523	Q6ZMS7	PF01352;PF12417
524	P0CB33	PF00096;PF01352
525	Q96SE7	PF00096;PF01352
526	Q6S9Z5	
527	P17098	PF00096;PF01352
528	Q9H4A3	PF00069;PF12202
529	Q7Z398	PF00096;PF01352
530	Q9BSK1	PF00096;PF01352
531	Q9H582	
532	Q8N720	PF00096
533	Q5R3I4	
534	Q96HJ5	PF04103
535	Q9Y3B1	PF04707
536	P61574	
537	F8VTS6	PF00622;PF11002;PF13765
538	Q6WKZ4	PF00168;PF09457
539	Q07020	PF17135
540	O00287	PF15289
541	Q8N431	PF00617;PF00618
542	Q9BWE0	PF00096
543	Q9UGC6	PF00615
544	Q96IS3	PF00046
545	O15539	PF00615
546	Q2M5E4	PF00615
547	Q9H974	PF01702
548	P50120	PF00061
549	Q14964	PF00071
550	Q8TDY2	PF10377
551	Q00577	PF04845
552	Q6ZW05	PF02460
553	P0DI81	PF04628
554	Q9Y2V3	PF00046;PF03826
555	P34925	PF02019;PF07714
556	A6NEL2	PF12796
557	Q9NQW1	
558	Q8WWT9	PF00939
559	P0C7V7	PF00717
560	Q13428	PF03546
561	Q8TDR4	
562	Q7Z6L1	PF06398;PF06462
563	O00762	PF00179
564	A0A0B4J249	PF07686
565	O00526	PF07353
566	A6NL46	
567	A0A075B6T6	PF07686
568	A0A0B4J2E0	PF07686
569	P54578	PF00443
570	Q9P275	PF00443
571	Q9Y6I7	PF00400;PF07525
572	O43264	PF06248
573	O14972	PF03643
574	Q16881	PF00462;PF02852;PF07992
575	Q8NI36	PF00400;PF04192;PF12894
576	Q9HA38	PF12171
577	P52744	PF00096
578	Q86WZ6	PF00096;PF01352
579	Q13398	PF00096;PF01352
580	P30291	PF00069
581	Q8N8Z8	PF00096;PF01352
582	Q9H598	PF01490
583	P0C7X5	PF00096;PF01352
584	Q06730	PF00096;PF01352
585	Q9BUY5	PF00096;PF01352
586	Q9HCZ1	PF00096;PF01352
587	B1APH4	PF00096;PF01352
588	Q14592	PF00096;PF01352
589	Q6ZNC4	
590	Q9ULD5	PF00096;PF01352;PF12417
591	Q8N446	
592	Q96SR6	PF00096;PF01352
593	Q8TD17	PF00096;PF01352;PF12417
594	Q9BYP7	PF00069;PF12202
595	Q5W150	
596	Q8N8J6	PF00096;PF01352
597	P0CW01	PF00956
598	Q96N58	PF00096;PF01352
599	A6NJL1	PF00096;PF02023
600	Q8N6N2	PF07719
601	Q9NX65	PF00096;PF02023
602	Q86TV6	PF13181
603	Q9Y277	PF01459
604	P63129	PF00077;PF01585
605	P11473	PF00104;PF00105
606	P12018	PF07686
607	Q9BRG1	PF05871
608	Q8IV63	PF00069;PF13240
609	P02774	PF00273;PF09164
610	P51809	PF00957;PF13774
611	Q9H4T2	PF00096;PF02023
612	Q8NBB4	PF02023
613	Q9BZ97	
614	P63124	PF00077;PF01585
615	Q9Y487	PF01496
616	Q9P1D8	
617	A8MXK9	
618	Q6ZRU5	
619	Q96MV1	PF03798
620	Q5QJE6	PF08698
621	Q4W5P6	
622	O75643	PF00270;PF00271;PF02889;PF18149
623	Q8N377	
624	A8MVM7	PF15090
625	Q6ZSR9	PF15282
626	Q5DID0	PF00095;PF00100;PF01390;PF07645
627	Q9NZ43	PF09753
628	P60604	PF00179
629	Q9UHU1	
630	A0A0A6YYD4	PF07686
631	Q6ZU65	PF08729;PF14075
632	Q9BXU3	PF15186
633	Q13105	PF00096;PF00651
634	Q9Y330	PF00096;PF00651
635	Q969E3	PF00473
636	Q9HAW8	PF00201
637	Q9Y4X1	PF00201
638	P30530	PF00041;PF07714
639	Q6PCB0	PF00041;PF00092
640	A8MWP4	
641	Q9Y5J7	PF02953
642	P57738	PF15128
643	E7ETH6	PF00096;PF01352
644	Q8NA23	PF00400
645	Q8NF64	PF02891
646	Q12901	PF00096;PF01352
647	Q9BY10	PF07690
648	Q9H9D4	PF00096
649	Q8IYB9	PF00096;PF01352
650	Q8TA94	PF00096;PF01352
651	Q5EBL2	PF00096
652	P17039	PF00096;PF01352
653	O75123	PF00096
654	Q6AZW8	PF00096
655	Q7Z739	PF04146
656	Q96N46	
657	Q5W5X9	
658	Q96GT9	PF05831
659	Q9P1C3	
660	Q8WWM1	PF05831
661	Q9C0H2	PF04906
662	Q52LC2	PF05827
663	Q16864	PF01990
664	Q96LB4	PF03179
665	Q8IUC6	PF12721;PF17798
666	Q9NUA8	PF00096;PF00651
667	O43829	PF00096;PF00651
668	A8MUA0	
669	P55851	PF00153
670	P55089	PF00473
671	O94888	PF00789
672	O15060	PF00096;PF00651
673	Q8N1Y9	
674	Q9UPT8	PF00642;PF18044
675	Q6PEW1	PF14893
676	Q6UWM9	PF00201
677	P37275	PF00096;PF05605
678	Q7Z3T8	PF01363;PF11979
679	Q7RTX0	PF00003;PF01094;PF07562
680	Q969J2	PF00096;PF01352;PF02023
681	Q5VTH9	PF00400
682	A8MV65	PF07545
683	Q14584	PF00096
684	Q8IUA0	PF00014;PF00095
685	O75373	PF00096;PF01352
686	Q09FC8	PF00096
687	O94892	PF00096;PF01352
688	Q00341	PF00013
689	Q9H7X3	PF00096
690	Q3KNS6	PF00096;PF01352
691	Q9ULM2	PF00096;PF01352
692	Q96C28	PF00096;PF01352
693	Q9H963	PF00096
694	P10072	PF00096;PF01352
695	Q6ZMS4	PF00096;PF01352
696	P0CJ78	PF00096
697	Q9P2S5	PF12894
698	Q6UXV3	
699	B9ZVM9	
700	A0A0J9YXM7	
701	Q15560	PF01096;PF07500;PF08711
702	O75445	PF00041;PF00053;PF00055;PF02210
703	Q8NBM4	PF00627
704	Q9BRU9	PF04900
705	Q13454	PF04756
706	O00755	PF00110
707	Q4V348	PF00096
708	Q9H6R7	PF15390
709	Q8TAG6	PF15505
710	Q6IQ21	PF00096
711	Q5HY98	PF00096;PF01352
712	Q9Y4E5	PF18479
713	A6NP11	PF00096;PF01352
714	Q8WZ26	
715	P13051	PF03167
716	P17031	PF00096;PF01352
717	Q6ZNH5	PF00096
718	Q86T29	PF00096;PF01352
719	Q15940	PF00096
720	P51522	PF00096
721	Q9HAH1	PF00096;PF01352
722	Q19AV6	PF04434
723	P98169	PF00096
724	Q96LW9	PF00096;PF02023
725	Q96SZ4	PF00096;PF02023
726	Q05940	PF07690
727	Q15542	PF00400;PF04494
728	Q9HAT2	PF03629
729	Q99832	PF00118
730	Q9NRJ4	PF01167
731	Q8N831	PF00956
732	A0A0B4J240	PF07686
733	Q6ZRM9	PF15788
734	Q9H869	
735	P42681	PF00017;PF00018;PF07714
736	Q7Z7L7	
737	Q9Y2W2	PF09429
738	Q12768	PF10266
739	Q9UII5	PF00096
740	Q14929	PF00096;PF01352
741	O14628	PF00096;PF01352
742	Q6UXN9	PF00400
743	Q9H967	
744	Q9NNW5	PF00400
745	Q6ZMY6	PF00400;PF01011
746	Q7L3S4	PF00096
747	Q96N22	PF00096;PF01352
748	Q8N7Q3	PF00096
749	Q7Z2F6	PF01352
750	Q9Y2P0	PF00096
751	P17014	PF00096;PF01352
752	Q6ZNA1	PF00096;PF01352
753	O75351	PF00004;PF04212;PF09336;PF17862
754	Q96N03	PF07686
755	O95183	PF00957
756	Q6EMB2	PF03133
757	Q9BZA0	
758	P63131	PF00077;PF01585
759	Q8NAQ8	
760	Q9NRW7	PF00995
761	Q6ZRG5	PF15779
762	P0DPA2	PF07686
763	P0C264	PF00069
764	Q9Y336	PF07686
765	P0DMN0	PF00685
766	Q9HBF5	
767	A6NIM6	PF00854
768	P51580	PF05724
769	O76054	PF00650
770	Q86T82	PF00443;PF02809;PF16674
771	Q70CQ4	PF00443
772	P20231	PF00089
773	Q15915	PF00096;PF18366
774	P15622	PF00096;PF01352
775	P52747	PF00096
776	Q8N5D0	PF00400
777	Q8TF68	PF00096
778	Q8WWY7	PF00095
779	Q5T5D7	PF00096;PF01352
780	Q96GE5	PF00096;PF01352
781	Q8NEX6	
782	Q9NX07	PF00076;PF17654
783	Q86UD4	PF00096
784	P08670	PF00038;PF04732
785	P18206	PF01044
786	Q8IVC4	PF00096;PF01352
787	P13682	PF00096
788	P17035	PF00096;PF01352
789	Q86UF1	PF00335
790	O95858	PF00335
791	Q5T7W0	
792	P41732	PF00335
793	Q8NB50	PF00096
794	Q96T88	PF00240;PF00628;PF02182;PF12148
795	Q9H4I2	PF00046;PF11569;PF18387
796	C9JPN9	PF00443;PF04774
797	O75541	
798	P59923	PF00096;PF01352;PF02023
799	Q6ZSZ6	
800	P17030	PF00096;PF01352
801	Q6ZR52	PF00096
802	Q9Y2H8	PF00096;PF01352
803	P17020	PF00096
804	Q96C55	PF00096
805	O43361	PF00096;PF01352
806	Q8IZ26	PF00096;PF01352
807	Q96JF6	PF00096
808	Q03923	PF00096;PF01352
809	Q15937	PF00096
810	O43257	PF04438
811	Q5MNZ6	
812	Q9Y5A9	PF04146
813	Q3SXZ7	PF03133
814	Q9ULE0	
815	Q9BXE9	PF03402
816	O14598	PF15231
817	O60688	PF03226
818	Q96QA6	PF03226
819	Q15906	PF05764;PF08265
820	A8MZ25	
821	P58304	PF00046;PF03826
822	Q8IW00	PF07686
823	Q9BWV7	PF03133
824	O95159	
825	Q9BZM5	PF00129
826	P52739	PF00651
827	Q9UIE0	PF00096;PF01352
828	Q14593	PF00096;PF01352
829	Q9HC57	PF00095
830	P09327	PF00626;PF02209
831	Q6UXU0	
832	P98066	PF00193;PF00431
833	Q96CX3	PF00096
834	P17028	PF00096;PF02023
835	Q75MW2	PF12417
836	P36508	PF00096
837	O60636	PF00335
838	A6NKD2	PF00956
839	Q8NBZ7	PF11803;PF16363
840	P17026	PF00096
841	O15535	PF00096;PF02023
842	Q8NA56	
843	Q9NNW7	PF02852;PF07992
844	Q96QD9	
845	Q9HBF4	PF01363
846	O15342	PF05493
847	Q99437	PF00137
848	Q93050	PF01496
849	Q8N6K4	
850	Q96AJ9	PF05008
851	Q6UX27	PF13895
852	Q96AE7	PF13181
853	Q9NYU1	PF06427;PF18400;PF18401;PF18402;PF18403;PF18404
854	Q9HBM0	PF12632
855	Q96PU4	PF00240;PF00628;PF02182;PF12148
856	Q8N1W2	PF00096
857	Q6UXZ4	PF00090;PF00531;PF00791;PF07679;PF17217
858	O95780	PF00096;PF01352
859	Q68DY9	PF00096;PF01352
860	Q8WTZ3	
861	Q8N4W9	PF00096;PF01352
862	A6NLP5	
863	Q5BKY6	
864	A8MT66	
865	Q8TCH9	
866	P42768	PF00568;PF00786;PF02205
867	P0DKX0	PF00096;PF01352
868	Q0VGE8	PF00096;PF01352
869	P51815	PF00096;PF01352;PF02023
870	O95405	PF01363;PF11409;PF11979
871	O00401	PF00568;PF00786;PF02205
872	Q9H0C1	PF01753
873	Q15928	PF00096;PF01352
874	P17025	PF00096;PF01352
875	Q3MJ13	PF00400
876	Q96MX6	PF00400
877	O60281	PF00096
878	Q8TAW3	PF00096;PF01352
879	Q5SXM1	PF00096
880	Q6ZMW2	PF00096;PF01352
881	Q2M1K9	PF00096
882	Q9NW07	PF00096
883	Q96N38	PF00096
884	Q8TEU8	PF00014;PF00095;PF01759;PF07679
885	Q8NEM1	PF00096;PF01352
886	Q8N8E2	PF00096
887	Q08AN1	PF00096;PF01352
888	Q0IIN9	
889	O15014	
890	Q86UE3	PF00096;PF01352
891	Q5T9L3	
892	P10073	PF00096;PF02023
893	Q15942	PF00412
